Data,Zamkniecie,logprices,logrates
11/2/2018,150.35,2.177103432,-0.004025267
11/5/2018,148.68,2.172252552,-0.00485088
11/6/2018,149.94,2.175917507,0.003664954
11/7/2018,151.53,2.180498623,0.004581117
11/8/2018,147.87,2.169880073,-0.01061855
11/9/2018,144.96,2.16124818,-0.008631893
11/12/2018,141.55,2.150909874,-0.010338307
11/13/2018,142.16,2.152777415,0.001867541
11/14/2018,144.22,2.159025491,0.006248076
11/15/2018,143.85,2.157909866,-0.001115625
11/16/2018,139.53,2.144667594,-0.013242272
11/19/2018,131.55,2.119090852,-0.025576742
11/20/2018,132.43,2.121986379,0.002895527
11/21/2018,134.82,2.129754323,0.007767944
11/23/2018,131.73,2.119684692,-0.010069631
11/26/2018,136.38,2.134750686,0.015065994
11/27/2018,135,2.130333768,-0.004416918
11/28/2018,136.76,2.135959092,0.005625324
11/29/2018,138.68,2.142013833,0.006054741
11/30/2018,140.61,2.148016208,0.006002375
12/3/2018,141.09,2.149496233,0.001480025
12/4/2018,137.93,2.139658736,-0.009837497
12/6/2018,139.63,2.144978738,0.005320002
12/7/2018,137.42,2.138049944,-0.006928794
12/10/2018,141.85,2.15182934,0.013779396
12/11/2018,142.08,2.152532948,0.000703608
12/12/2018,144.5,2.159867847,0.007334899
12/13/2018,145.01,2.161397953,0.001530105
12/14/2018,144.06,2.15854341,-0.002854542
12/17/2018,140.19,2.146717036,-0.011826375
12/18/2018,143.66,2.157335862,0.010618826
12/19/2018,133.24,2.124634624,-0.032701238
12/20/2018,133.4,2.12515583,0.000521206
12/21/2018,124.95,2.09673626,-0.028419569
12/24/2018,124.06,2.093631777,-0.003104484
12/26/2018,134.18,2.127687788,0.034056011
12/27/2018,134.52,2.128786859,0.001099071
12/28/2018,133.2,2.124504225,-0.004282634
12/31/2018,131.09,2.117569563,-0.006934661
1/2/2019,135.68,2.132515835,0.014946271
1/3/2019,131.74,2.119717659,-0.012798176
1/4/2019,137.95,2.139721705,0.020004046
1/7/2019,138.05,2.140036411,0.000314706
1/8/2019,142.53,2.153906285,0.013869874
1/9/2019,144.23,2.159055604,0.005149318
1/10/2019,144.2,2.15896526,-9.03431E-05
1/11/2019,143.8,2.157758886,-0.001206374
1/14/2019,145.39,2.162534537,0.004775651
1/15/2019,148.95,2.173040508,0.010505971
1/16/2019,147.54,2.168909779,-0.004130728
1/17/2019,148.3,2.171141151,0.002231372
1/18/2019,150.04,2.176207055,0.005065904
1/22/2019,147.57,2.168998077,-0.007208978
1/23/2019,144.3,2.159266331,-0.009731746
1/24/2019,145.83,2.163846876,0.004580545
1/25/2019,149.01,2.173215415,0.009368539
1/28/2019,147.47,2.16870368,-0.004511734
1/29/2019,144.19,2.158935142,-0.009768538
1/30/2019,150.42,2.177305584,0.018370443
1/31/2019,166.69,2.221909547,0.044603962
2/1/2019,165.71,2.219348717,-0.002560829
2/4/2019,169.25,2.228528677,0.00917996
2/5/2019,171.16,2.233402278,0.0048736
2/6/2019,170.49,2.231698911,-0.001703367
2/7/2019,166.38,2.22110112,-0.010597791
2/8/2019,167.33,2.223573811,0.002472691
2/11/2019,165.79,2.219558332,-0.00401548
2/12/2019,165.04,2.217589215,-0.001969117
2/13/2019,164.07,2.215029178,-0.002560037
2/14/2019,163.95,2.214711421,-0.000317757
2/15/2019,162.5,2.210853365,-0.003858056
2/19/2019,162.29,2.21029176,-0.000561605
2/20/2019,162.56,2.211013691,0.00072193
2/21/2019,160.04,2.204228543,-0.006785148
2/22/2019,161.89,2.209220023,0.00499148
